model,configuration_id,fold,validation_size,train_pr_auc,pr_auc,roc_auc,iterations,convergence_warning_count,converged,fit_seconds
L1 Logistic,l1_c_0_01,1,5505,0.07343363091684926,0.0678010776839477,0.4937950819672131,7.0,0,True,0.03263966699887533
L1 Logistic,l1_c_0_01,2,5505,0.07108508247122196,0.07919673010525716,0.5073215636822194,9.0,0,True,0.03423220900003798
L1 Logistic,l1_c_0_01,3,5504,0.07136170150783114,0.07489834631638494,0.501012778340081,8.0,0,True,0.032566540998232085
L1 Logistic,l1_c_0_01,4,5504,0.07312047082913332,0.06736510235176449,0.5010111968623482,8.0,0,True,0.034750124999845866
L1 Logistic,l1_c_0_01,5,5504,0.071371247923013,0.07492564117497785,0.50623922002655,9.0,0,True,0.033651958001428284
L1 Logistic,l1_c_0_03,1,5505,0.07529794780302895,0.06889826489246795,0.5073710592686003,13.0,0,True,0.06189487500159885
L1 Logistic,l1_c_0_03,2,5505,0.0723283012826415,0.07724817184772215,0.5004126733921817,12.0,0,True,0.06344304199956241
L1 Logistic,l1_c_0_03,3,5504,0.07492084887020628,0.08134197503269802,0.5230497216599189,12.0,0,True,0.054657958000461804
L1 Logistic,l1_c_0_03,4,5504,0.0772142247356027,0.06495983144277442,0.49245223937246957,8.0,0,True,0.05162233299779473
L1 Logistic,l1_c_0_03,5,5504,0.07533295636368278,0.07039929943580273,0.4966680225390129,11.0,0,True,0.054509166002389975
L1 Logistic,l1_c_0_10,1,5505,0.07743972233342908,0.07250014348370795,0.4996040353089533,16.0,0,True,0.07660024999859161
L1 Logistic,l1_c_0_10,2,5505,0.0751049521286573,0.08531852489382574,0.5160425598991172,12.0,0,True,0.09117320899895276
L1 Logistic,l1_c_0_10,3,5504,0.07506883905653594,0.08187450948150096,0.5224512904858299,17.0,0,True,0.07898000000204775
L1 Logistic,l1_c_0_10,4,5504,0.07871174482583682,0.0666823740545183,0.4855193572874494,15.0,0,True,0.0711269169987645
L1 Logistic,l1_c_0_10,5,5504,0.07741705617520181,0.07230098506743646,0.48541491270389325,16.0,0,True,0.06955445800122106
L1 Logistic,l1_c_0_30,1,5505,0.07902666191981043,0.07350321952282879,0.4944435687263556,15.0,0,True,0.1627293749988894
L1 Logistic,l1_c_0_30,2,5505,0.07598261981680607,0.08569416633529137,0.5190930012610341,20.0,0,True,0.14546145900021656
